gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,at,emp,revt,costat,naics
002547,2020-12-31,2020,FS,C,D,STD,CIGNA GROUP (THE),USD,155451.0000,73.7000,160398.0000,A,524114
002547,2020-12-31,2020,INDL,C,D,STD,CIGNA GROUP (THE),USD,155451.0000,73.7000,160216.0000,A,524114
002547,2021-12-31,2021,FS,C,D,STD,CIGNA GROUP (THE),USD,154889.0000,73.7000,174333.0000,A,524114
002547,2021-12-31,2021,INDL,C,D,STD,CIGNA GROUP (THE),USD,154889.0000,73.7000,174274.0000,A,524114
002547,2022-12-31,2022,FS,C,D,STD,CIGNA GROUP (THE),USD,143932.0000,71.3000,180075.0000,A,524114
002547,2022-12-31,2022,INDL,C,D,STD,CIGNA GROUP (THE),USD,143932.0000,71.3000,180147.0000,A,524114
002547,2023-12-31,2023,FS,C,D,STD,CIGNA GROUP (THE),USD,152761.0000,72.5000,195231.0000,A,524114
002547,2023-12-31,2023,INDL,C,D,STD,CIGNA GROUP (THE),USD,152761.0000,72.5000,195244.0000,A,524114
002751,2015-06-30,2015,INDL,C,D,STD,CARDINAL HEALTH INC,USD,30142.0000,34.5000,102531.0000,A,424210
002751,2016-06-30,2016,INDL,C,D,STD,CARDINAL HEALTH INC,USD,34122.0000,37.3000,121546.0000,A,424210
002751,2017-06-30,2017,INDL,C,D,STD,CARDINAL HEALTH INC,USD,40112.0000,40.4000,129976.0000,A,424210
002751,2018-06-30,2018,INDL,C,D,STD,CARDINAL HEALTH INC,USD,39951.0000,50.2000,136809.0000,A,424210
002751,2019-06-30,2019,INDL,C,D,STD,CARDINAL HEALTH INC,USD,40963.0000,49.5000,145534.0000,A,424210
002751,2020-06-30,2020,INDL,C,D,STD,CARDINAL HEALTH INC,USD,40766.0000,48.0000,152922.0000,A,424210
002751,2021-06-30,2021,INDL,C,D,STD,CARDINAL HEALTH INC,USD,44453.0000,47.3000,162467.0000,A,424210
002751,2022-06-30,2022,INDL,C,D,STD,CARDINAL HEALTH INC,USD,43878.0000,46.5000,181364.0000,A,424210
002751,2023-06-30,2023,INDL,C,D,STD,CARDINAL HEALTH INC,USD,43417.0000,48.0000,205012.0000,A,424210
002817,2015-12-31,2015,INDL,C,D,STD,CATERPILLAR INC,USD,78497.0000,105.7000,47011.0000,A,333120
002817,2016-12-31,2016,INDL,C,D,STD,CATERPILLAR INC,USD,74704.0000,95.4000,38537.0000,A,333120
002817,2017-12-31,2017,INDL,C,D,STD,CATERPILLAR INC,USD,76962.0000,98.4000,45462.0000,A,333120
002817,2018-12-31,2018,INDL,C,D,STD,CATERPILLAR INC,USD,78509.0000,104.0000,54722.0000,A,333120
002817,2019-12-31,2019,INDL,C,D,STD,CATERPILLAR INC,USD,78453.0000,102.3000,53800.0000,A,333120
002817,2020-12-31,2020,INDL,C,D,STD,CATERPILLAR INC,USD,78324.0000,97.3000,41748.0000,A,333120
002817,2021-12-31,2021,INDL,C,D,STD,CATERPILLAR INC,USD,82793.0000,107.7000,50971.0000,A,333120
002817,2022-12-31,2022,INDL,C,D,STD,CATERPILLAR INC,USD,81943.0000,109.1000,59427.0000,A,333120
002817,2023-12-31,2023,INDL,C,D,STD,CATERPILLAR INC,USD,87476.0000,113.2000,67060.0000,A,333120
002968,2015-12-31,2015,FS,C,D,STD,JPMORGAN CHASE & CO,USD,2351698.0000,234.5980,100492.0000,A,522110
002968,2015-12-31,2015,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,2351698.0000,234.5980,100492.0000,A,522110
002968,2016-12-31,2016,FS,C,D,STD,JPMORGAN CHASE & CO,USD,2490972.0000,243.3550,105486.0000,A,522110
002968,2016-12-31,2016,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,2490972.0000,243.3550,105486.0000,A,522110
002968,2017-12-31,2017,FS,C,D,STD,JPMORGAN CHASE & CO,USD,2533600.0000,252.5390,113254.0000,A,522110
002968,2017-12-31,2017,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,2533600.0000,252.5390,113254.0000,A,522110
002968,2018-12-31,2018,FS,C,D,STD,JPMORGAN CHASE & CO,USD,2622532.0000,256.1050,131412.0000,A,522110
002968,2018-12-31,2018,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,2622532.0000,256.1050,131412.0000,A,522110
002968,2019-12-31,2019,FS,C,D,STD,JPMORGAN CHASE & CO,USD,2687379.0000,256.9810,142422.0000,A,522110
002968,2019-12-31,2019,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,2687379.0000,256.9810,142422.0000,A,522110
002968,2020-12-31,2020,FS,C,D,STD,JPMORGAN CHASE & CO,USD,3386071.0000,255.3510,129503.0000,A,522110
002968,2020-12-31,2020,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,3386071.0000,255.3510,129503.0000,A,522110
002968,2021-12-31,2021,FS,C,D,STD,JPMORGAN CHASE & CO,USD,3743567.0000,271.0250,127202.0000,A,522110
002968,2021-12-31,2021,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,3743567.0000,271.0250,127202.0000,A,522110
002968,2022-12-31,2022,FS,C,D,STD,JPMORGAN CHASE & CO,USD,3665743.0000,293.7230,154792.0000,A,522110
002968,2022-12-31,2022,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,3665743.0000,293.7230,154792.0000,A,522110
002968,2023-12-31,2023,FS,C,D,STD,JPMORGAN CHASE & CO,USD,3875393.0000,309.9260,236311.0000,A,522110
002968,2023-12-31,2023,INDL,C,D,STD,JPMORGAN CHASE & CO,USD,3875393.0000,309.9260,236311.0000,A,522110
002991,2015-12-31,2015,INDL,C,D,STD,CHEVRON CORP,USD,266103.0000,61.5000,122566.0000,A,324110
002991,2016-12-31,2016,INDL,C,D,STD,CHEVRON CORP,USD,260078.0000,55.2000,103310.0000,A,324110
002991,2017-12-31,2017,INDL,C,D,STD,CHEVRON CORP,USD,253806.0000,51.9000,127485.0000,A,324110
002991,2018-12-31,2018,INDL,C,D,STD,CHEVRON CORP,USD,253863.0000,48.6000,158902.0000,A,324110
002991,2019-12-31,2019,INDL,C,D,STD,CHEVRON CORP,USD,237428.0000,48.2000,139865.0000,A,324110
002991,2020-12-31,2020,INDL,C,D,STD,CHEVRON CORP,USD,239790.0000,47.7360,94471.0000,A,324110
002991,2021-12-31,2021,INDL,C,D,STD,CHEVRON CORP,USD,239535.0000,42.5950,155606.0000,A,324110
002991,2022-12-31,2022,INDL,C,D,STD,CHEVRON CORP,USD,257709.0000,43.8460,235717.0000,A,324110
002991,2023-12-31,2023,INDL,C,D,STD,CHEVRON CORP,USD,261632.0000,45.6000,196913.0000,A,324110
003144,2015-12-31,2015,INDL,C,D,STD,COCA-COLA CO,USD,90093.0000,123.2000,44294.0000,A,312111
003144,2016-12-31,2016,INDL,C,D,STD,COCA-COLA CO,USD,87270.0000,100.3000,41863.0000,A,312111
